Wavelength (nm),Absorbance,Title,Time
282,0.00081,,
281.5,0.000967,,
281,0.00104,,
280.5,0.000828,,
280,0.001442,,
279.5,0.000908,,
279,0.001306,,
278.5,0.001062,,
278,0.001305,,
277.5,0.001049,,
277,0.001057,,
276.5,0.001338,,
276,0.001051,,
275.5,0.001086,,
275,0.001485,,
274.5,0.001146,,
274,0.001494,,
273.5,0.001199,,
273,0.001229,,
272.5,0.001593,,
272,0.001543,,
271.5,0.001019,,
271,0.001023,,
270.5,0.001719,,
270,0.001976,,
269.5,0.001774,,
269,0.001736,,
268.5,0.001453,,
268,0.001324,,
267.5,0.002025,,
267,0.001738,,
266.5,0.001972,,
266,0.001615,,
265.5,0.002215,,
265,0.002444,,
264.5,0.002308,,
264,0.002137,,
263.5,0.002538,,
263,0.002408,,
262.5,0.003269,,
262,0.003532,,
261.5,0.003766,,
261,0.00437,,
260.5,0.004294,,
260,0.004607,,
259.5,0.005349,,
259,0.006061,,
258.5,0.006173,,
258,0.007224,,
257.5,0.00759,,
257,0.008675,,
256.5,0.010553,,
256,0.012838,,
255.5,0.013975,,
255,0.016806,,
254.5,0.01897,,
254,0.020788,,
253.5,0.02453,,
253,0.030795,,
252.5,0.032034,,
252,0.034205,,
251.5,0.036054,,
251,0.043943,,
250.5,0.101777,,
250,0.187154,,
249.5,NaN,,
249,NaN,,
248.5,NaN,,
248,NaN,,
247.5,NaN,,
247,NaN,,
246.5,NaN,,
246,NaN,,
245.5,NaN,,
245,NaN,,
244.5,NaN,,
244,NaN,,
243.5,NaN,,
243,NaN,,
242.5,NaN,,
242,NaN,,
241.5,NaN,,
241,NaN,,
240.5,NaN,,
240,NaN,,
